Fiscal Year,State,County,Local Education Agency (LEA) Entity ID,Local Education Agency (LEA) CTDS Number,Local Education Agency (LEA) Name,School Entity ID,School CTDS Number,School Name,Charter School,Math Mean Scale Score,Math Percent Falls Far Below,Math Percent Approaches,Math Percent Meets,Math Percent Exceeds,Math Percent Passing,Reading Mean Scale Score,Reading Percent  Falls Far Below,Reading Percent  Approaches,Reading Percent  Meets,Reading Percent  Exceeds,Reading Percent  Passing,Writing Mean Scale Score,Writing Percent  Falls Far Below,Writing Percent  Approaches,Writing Percent  Meets,Writing Percent  Exceeds,Writing Percent  Passing,Science Mean Scale Score,Science Percent  Falls Far Below,Science Percent  Approaches,Science Percent  Meets,Science Percent  Exceeds,Science Percent  Passing
2014,ARIZONA,Maricopa,4235,70204000,Mesa Unified District,89593,70204192,Mesa Academy for Advanced Studies,N,*,*,*,*,*,*,*,*,*,*,*,*,545,*,*,83,11,95,*,*,*,*,*,*
2014,ARIZONA,Maricopa,4239,70241000,Gilbert Unified District,89594,70241167,Quartz Hill Elementary,N,415,4,11,46,39,85,509,*,*,76,16,92,536,2,12,71,15,86,522,3,23,51,24,75
2014,ARIZONA,Maricopa,4254,70290000,Saddle Mountain Unified School District,89596,70290702,Tartesso Elementary School,N,407,13,25,38,24,62,502,3,17,72,9,80,488,14,44,39,3,41,510,12,33,33,22,55
2014,ARIZONA,Maricopa,4243,70289000,Dysart Unified District,89600,70289724,Canyon Ridge School,N,432,7,9,37,46,83,524,2,8,74,16,90,526,6,13,70,10,80,545,5,7,35,53,88
2014,ARIZONA,Maricopa,81033,78735000,"RSD Charter School, Inc.",89603,78735202,RSD Computerized Plus High School,Y,460,72,17,7,3,10,675,8,44,46,2,48,467,11,54,*,*,36,456,81,8,*,*,12
2014,ARIZONA,Maricopa,4243,70289000,Dysart Unified District,89604,70289123,Mountain View,N,416,10,15,42,33,75,511,1,12,76,10,87,502,5,32,60,3,62,523,7,17,34,41,75
2014,ARIZONA,Maricopa,4239,70241000,Gilbert Unified District,89605,70241134,Gilbert Classical Academy Jr.,N,489,1,1,29,70,99,576,*,*,75,24,99,532,*,*,77,6,83,578,*,*,11,88,99
2014,ARIZONA,Maricopa,4239,70241000,Gilbert Unified District,89606,70241234,Gilbert Classical Academy High School,N,563,*,*,23,75,98,*,*,*,*,*,*,*,*,*,*,*,*,563,3,6,23,68,91
2014,ARIZONA,Apache,4153,10201000,St Johns Unified District,89607,10201206,St. Johns Learning Center,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,ARIZONA,Maricopa,4278,70465000,Littleton Elementary District,89608,70465107,Estrella Vista Elementary School,N,397,21,23,40,16,56,496,4,22,70,4,74,482,17,41,*,*,41,509,12,29,35,25,60
2014,ARIZONA,Maricopa,4242,70280000,Chandler Unified District #80,89613,70280228,Perry High School,N,526,6,8,47,39,85,747,*,*,71,27,97,532,1,5,86,8,94,526,18,11,25,46,71
2014,ARIZONA,Maricopa,79967,78968000,LEAD Charter Schools,89616,78968103,Leading Edge Academy at East Mesa,Y,398,12,18,39,31,69,499,*,*,76,14,90,504,5,35,*,*,60,528,8,8,58,25,83
2014,ARIZONA,Maricopa,4270,70438000,Madison Elementary District,89622,70438111,Madison Traditional Academy,N,441,1,4,41,54,94,533,*,*,75,23,98,528,1,13,82,4,86,548,*,*,43,53,96
2014,ARIZONA,Maricopa,81076,78985000,Heritage Elementary School,89624,78985103,Heritage Elementary - Williams,Y,382,8,44,31,17,47,479,*,*,67,6,72,469,21,53,*,*,26,*,*,*,*,*,*
2014,ARIZONA,Yuma,80001,148761000,Carpe Diem Collegiate High School,89656,148761202,iSchool2020,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,ARIZONA,Maricopa,4236,70209000,Wickenburg Unified District,89676,70209104,Festival Foothills Elementary School,N,410,11,11,49,29,78,506,1,11,78,10,88,498,8,32,59,2,60,515,10,15,54,22,76
2014,ARIZONA,Maricopa,4252,70381000,Nadaburg Unified School District,89748,70381102,Desert Oasis Elementary School,N,393,19,21,43,17,60,499,2,19,67,11,78,493,10,42,45,4,48,520,7,23,31,39,70
2014,ARIZONA,Pima,4413,100220000,Vail Unified District,89749,100220113,Senita Valley Elementary School,N,425,1,5,41,53,94,507,*,*,72,22,94,535,2,13,71,13,84,557,1,10,34,56,89
2014,ARIZONA,Maricopa,89756,78533000,Scottsdale Preparatory Academy,89757,78533001,Great Hearts Academies - Scottsdale Prep,Y,470,2,3,41,54,95,580,*,*,75,24,99,544,*,*,80,13,93,560,2,4,17,76,94
2014,ARIZONA,Maricopa,89758,78534000,"Candeo Schools, Inc.",89759,78534001,Candeo Peoria,Y,438,*,*,38,59,97,532,*,*,64,35,99,541,1,4,79,17,95,561,*,*,33,65,99
